"country.of.origin","harvest.year","variety","processing.method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean.cup","sweetness","cupper.points","moisture","color","altitude_mean_meters","quality"
"Colombia","2013","Caturra","Washed / Wet",7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,7.92,0,"Green",1900,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.67,7.67,7.42,7.67,8,7.75,10,10,10,7.5,0.12,"Green",1310.64,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,7.67,0.11,"Green",1310.64,"good"
"Colombia","2012","Caturra","Washed / Wet",7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,7.83,0.11,"Green",1750,"good"
"Guatemala","2012","Caturra","Natural / Dry",8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,0.11,"Green",1450,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,7.5,0.11,"Green",1310.64,"good"
"Mexico","2012","Typica","Washed / Wet",7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,7.58,0.12,"Green",1100,"good"
"Indonesia","2012","Typica","Washed / Wet",8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,7.58,0.12,"Green",1400,"good"
"Guatemala","2012","Caturra","Washed / Wet",7.67,7.5,7.33,8,7.67,7.67,10,10,10,7.83,0.1,"Green",1524,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,7.92,0.11,"Green",890,"good"
"Guatemala","2016","Caturra","Washed / Wet",7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.11,"Green",1128.3696,"good"
"China","2015","Other","Washed / Wet",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.1,"Green",1100,"good"
"Colombia","2015","Caturra","Washed / Wet",7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,7.58,0.12,"Green",1775,"good"
"Mexico","2014","Caturra","Washed / Wet",7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,7.75,0.12,"Green",1200,"good"
"Uganda","2013","Other","Washed / Wet",7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,7.67,0.12,"Green",1800,"good"
"Colombia","2014","Caturra","Natural / Dry",7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,7.67,0,"Green",1600,"good"
"Colombia","2014","Caturra","Washed / Wet",7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,7.67,0.12,"Green",1550,"good"
"Taiwan","2014","Typica","Other",7.75,7.75,7.75,7.75,7.5,7.58,10,10,10,7.5,0.11,"Green",1000,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.67,7.58,7.67,7.75,7.58,10,10,10,7.67,0.11,"Green",1775,"good"
"Colombia","2012","Caturra","Natural / Dry",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,7.75,0.11,"Green",2136,"good"
"Brazil","2012","Catuai","Semi-washed / Semi-pulped",7.83,7.75,7.5,7.75,7.5,7.58,10,10,10,7.67,0.12,"Blue-Green",1100,"good"
"Colombia","2016","Caturra","Washed / Wet",7.75,7.58,7.58,7.75,7.75,7.5,10,10,10,7.58,0,"Bluish-Green",1799,"good"
"Costa Rica","2015","Caturra","Washed / Wet",7.92,7.42,7.5,7.67,7.5,7.67,10,10,10,7.83,0,"Blue-Green",1850,"good"
"Colombia","2016","Caturra","Natural / Dry",7.75,7.58,7.58,7.5,7.75,7.75,10,10,10,7.58,0,"Green",1000,"good"
"Guatemala","2016","Bourbon","Washed / Wet",7.67,7.75,7.5,7.83,7.58,7.58,10,10,10,7.58,0.1,"Bluish-Green",1219.2,"good"
"Colombia","2015","Caturra","Washed / Wet",7.58,7.58,7.58,7.58,7.75,7.67,10,10,10,7.75,0.12,"Green",1775,"good"
"Tanzania, United Republic Of","2015","Other","Washed / Wet",7.75,7.67,7.58,7.67,7.67,7.58,10,10,10,7.58,0.13,"Green",1400,"good"
"Indonesia","2015","Other","Semi-washed / Semi-pulped",7.25,7.67,7.58,7.92,7.83,7.58,10,10,10,7.67,0.13,"Bluish-Green",1500,"good"
"Colombia","2014","Caturra","Washed / Wet",8,7.58,7.25,7.58,7.92,7.58,10,10,10,7.58,0.11,"Green",1850,"good"
"Guatemala","2013","Caturra","Washed / Wet",7.58,7.75,7.5,7.83,7.42,7.67,10,10,10,7.75,0.1,"Green",1400,"good"
"Honduras","2015","Caturra","Natural / Dry",7.67,7.5,7.67,7.5,7.67,7.67,10,10,10,7.83,0.1,"Green",1350,"good"
"Colombia","2013","Caturra","Washed / Wet",7.58,7.75,7.42,7.67,7.75,7.67,10,10,10,7.67,0,"Green",1750,"good"
"Colombia","2013","Caturra","Washed / Wet",7.58,7.67,7.58,7.75,7.58,7.75,10,10,10,7.58,0.11,"Green",1750,"good"
"Mexico","2012","Bourbon","Natural / Dry",7.83,7.58,7.25,7.5,7.5,7.42,10,10,10,8.42,0.13,"Green",1170,"good"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.67,7.75,7.67,7.75,7.58,7.5,10,10,10,7.58,0.11,"Green",940,"good"
"Mexico","2012","Other","Washed / Wet",7.75,7.67,7.67,7.75,7.33,7.5,10,10,10,7.83,0.12,"Green",1400,"good"
"Guatemala","2012","Caturra","Washed / Wet",7.83,7.5,7.5,8,7.67,7.5,10,10,10,7.5,0.1,"Green",1524,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.58,7.58,7.67,7.67,7.67,10,10,10,7.67,0.11,"Green",1775,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.5,7.5,7.75,7.5,8,7.67,10,10,10,7.58,0,"Green",1402.08,"good"
"Colombia","2018","Caturra","Washed / Wet",7.5,7.58,7.58,7.5,7.75,7.83,10,10,10,7.67,0,"Green",439,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.67,7.75,7.5,7.58,7.58,7.67,10,10,10,7.67,0.1,"Green",1700,"good"
"Colombia","2016","Caturra","Washed / Wet",7.67,7.67,7.5,7.67,7.67,7.58,10,10,10,7.67,0.11,"Green",442,"good"
"Costa Rica","2016","Caturra","Washed / Wet",7.58,7.5,7.42,7.92,7.5,7.67,10,10,10,7.83,0.09,"Blue-Green",1850,"good"
"Uganda","2015","Other","Washed / Wet",7.58,7.75,7.33,7.75,7.67,7.58,10,10,10,7.75,0.11,"Green",1800,"good"
"Thailand","2015","Other","Washed / Wet",7.5,7.58,7.75,7.5,7.75,7.67,10,10,10,7.67,0.13,"Bluish-Green",1200,"good"
"Colombia","2015","Caturra","Natural / Dry",7.58,7.67,7.58,7.67,7.58,7.67,10,10,10,7.67,0.12,"Green",442,"good"
"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",7.75,7.67,7.58,7.67,7.58,7.58,10,10,10,7.58,0.13,"Green",1600,"good"
"Colombia","2015","Caturra","Washed / Wet",7.58,7.58,7.25,7.75,7.75,8.58,9.33,10,10,7.58,0.12,"Green",1813,"good"
"Guatemala","2013","Bourbon","Natural / Dry",7.75,7.83,7.33,7.83,7.5,7.67,10,10,10,7.5,0.1,"Green",1219.2,"good"
"Guatemala","2014","Caturra","Washed / Wet",7.67,7.75,7.5,7.83,7.58,7.5,10,10,10,7.58,0.1,"Green",1500,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.67,7.5,7.75,7.42,7.75,7.75,10,10,10,7.58,0.11,"Green",1310.64,"good"
"Colombia","2012","Caturra","Washed / Wet",7.5,7.75,7.58,7.5,7.67,7.75,10,10,10,7.67,0.11,"Green",1450,"good"
"Brazil","2016","Catuai","Semi-washed / Semi-pulped",7.5,7.83,7.33,7.58,7.58,7.92,10,10,10,7.58,0.1,"Green",1227,"good"
"Mexico","2014","Caturra","Washed / Wet",7.75,7.75,7.5,7.67,7.5,7.58,10,10,10,7.58,0.12,"Green",1200,"good"
"Colombia","2015","Caturra","Washed / Wet",7.67,7.75,7.42,7.83,7.83,7.42,10,10,10,7.42,0.11,"Green",1650,"good"
"Tanzania, United Republic Of","2014","Other","Semi-washed / Semi-pulped",7.75,7.58,7.67,7.58,7.58,7.58,10,10,10,7.58,0.12,"Green",1700,"good"
"Mexico","2013","Other","Washed / Wet",7.67,7.67,7.58,7.67,7.5,7.58,10,10,10,7.67,0.12,"Green",1100,"good"
"Costa Rica","2014","Caturra","Washed / Wet",7.67,7.67,7.42,7.67,7.67,7.67,10,10,10,7.58,0.12,"Green",1300,"good"
"Costa Rica","2013","Catuai","Washed / Wet",7.5,7.67,7.67,7.5,7.83,7.17,10,10,10,8,0.11,"Green",1200,"good"
"Haiti","2012","Typica","Washed / Wet",7.58,7.5,7.67,7.5,7.83,7.42,10,10,10,7.83,0.11,"Green",1280.16,"good"
"Colombia","2013","Caturra","Natural / Dry",7.67,7.67,7.5,7.67,7.92,7.42,10,10,10,7.5,0.11,"Green",1000,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.83,7.67,7.17,7.67,7.67,7.67,10,10,10,7.67,0.11,"Green",1310.64,"good"
"Colombia","2012","Caturra","Washed / Wet",7.5,7.67,7.67,7.58,7.67,7.58,10,10,10,7.67,0,"Green",1750,"good"
"Mexico","2017","Typica","Washed / Wet",7.67,7.83,7.42,7.83,7.33,7.5,10,10,10,7.67,0.11,"Blue-Green",1600,"good"
"Costa Rica","2016","Catuai","Pulped natural / honey",7.5,7.5,7.83,7.5,7.67,7.67,10,10,10,7.58,0.11,"Green",1900,"good"
"Guatemala","2016","Other","Washed / Wet",7.5,7.58,7.42,7.83,7.67,7.58,10,10,10,7.67,0.11,"Green",2100,"good"
"Colombia","2016","Caturra","Natural / Dry",7.58,7.67,7.67,7.17,7.75,7.83,10,10,10,7.58,0,"Green",442,"good"
"Mexico","2015","Typica","Natural / Dry",7.83,7.75,7.5,7.58,7.58,7.58,10,10,10,7.42,0.12,"Bluish-Green",1261,"good"
"Taiwan","2015","Bourbon","Washed / Wet",7.67,7.5,7.5,7.5,7.67,7.83,10,10,10,7.58,0.1,"Blue-Green",1000,"good"
"Taiwan","2014","Typica","Washed / Wet",7.92,7.83,7.75,7.58,7.5,7.33,10,10,10,7.33,0.1,"Green",800,"good"
"Colombia","2014","Caturra","Natural / Dry",7.58,7.58,7.5,7.58,7.58,7.75,10,10,10,7.67,0,"Green",1483,"good"
"Guatemala","2014","Caturra","Washed / Wet",7.5,7.67,7.58,7.67,7.67,7.5,10,10,10,7.67,0.1,"Green",1500,"good"
"Colombia","2013","Caturra","Washed / Wet",7.83,7.5,7.67,7.33,7.67,7.67,10,10,10,7.58,0.11,"Green",1750,"good"
"Mexico","2013","Bourbon","Washed / Wet",7.58,7.75,7.5,7.5,7.58,7.58,10,10,10,7.75,0.12,"Green",1300,"good"
"Mexico","2012","Caturra","Washed / Wet",7.75,7.75,7.42,7.92,7.33,7.5,10,10,10,7.58,0.12,"Blue-Green",1000,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.83,7.58,7.08,7.83,7.42,8.08,10,10,10,7.42,0.11,"Green",1310.64,"good"
"Brazil","2012","Other","Semi-washed / Semi-pulped",7.75,7.67,7.5,7.58,7.58,7.58,10,10,10,7.58,0.11,"Blue-Green",1200,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.58,7.58,7.42,7.83,7.58,10,10,10,7.58,0.12,"Green",175,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.67,7.5,7.5,7.58,7.67,10,10,10,7.67,0.11,"Green",1775,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.67,7.42,7.5,7.58,7.67,7.58,10,10,10,7.75,0.11,"Green",890,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.58,7.58,7.33,7.67,7.75,7.58,10,10,10,7.67,0.1,"Green",1901,"good"
"Tanzania, United Republic Of","2016","Bourbon","Washed / Wet",7.67,7.58,7.42,7.67,7.67,7.58,10,10,10,7.58,0.12,"Green",168,"good"
"Vietnam","2017","Other","Natural / Dry",7.58,7.42,7.08,7.33,7.58,8.58,10,10,10,7.58,0.07,"None",1550,"good"
"Guatemala","2016","Caturra","Washed / Wet",7.67,7.75,7.42,7.75,7.58,7.5,10,10,10,7.5,0.11,"Green",1500,"good"
"Honduras","2016","Catuai","Washed / Wet",7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,"Blue-Green",1450,"good"
"China","2015","Other","Washed / Wet",7.5,7.67,7.33,7.67,7.67,7.67,10,10,10,7.67,0.11,"Green",1200,"good"
"China","2015","Other","Washed / Wet",7.67,7.67,7.5,7.67,7.42,7.58,10,10,10,7.67,0.1,"Green",1600,"good"
"El Salvador","2016","Bourbon","Washed / Wet",7.5,7.5,7.33,7.67,8,7.67,10,10,10,7.5,0,"Green",1350,"good"
"Guatemala","2015","Bourbon","Washed / Wet",7.5,7.75,7.5,7.83,7.58,7.5,10,10,10,7.5,0.11,"Green",1500,"good"
"Guatemala","2015","Bourbon","Washed / Wet",7.92,7.67,7.42,7.75,7.5,7.5,10,10,10,7.42,0.12,"Green",1650,"good"
"Kenya","2014","Other","Washed / Wet",7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,0.1,"Bluish-Green",250.5,"good"
"Tanzania, United Republic Of","2014","Other","Washed / Wet",7.58,7.67,7.67,7.58,7.42,7.58,10,10,10,7.67,0.13,"Bluish-Green",1653,"good"
"Uganda","2014","Other","Washed / Wet",8,7.67,7.5,7.42,7.33,7.58,10,10,10,7.67,0.1,"Bluish-Green",1800,"good"
"Honduras","2013","Catuai","Natural / Dry",7.5,7.5,7.5,7.67,7.67,7.67,10,10,10,7.67,0.1,"Green",1450,"good"
"Honduras","2015","Caturra","Natural / Dry",7.67,7.67,7.5,7.67,7.5,7.67,10,10,10,7.5,0.11,"Green",1350,"good"
"Guatemala","2014","Catuai","Washed / Wet",7.33,7.83,7.17,8.17,7.33,7.67,10,10,10,7.67,0.09,"Green",1524,"good"
"Tanzania, United Republic Of","2014","Bourbon","Washed / Wet",7.58,7.5,7.58,7.75,7.58,7.58,10,10,10,7.58,0.12,"Green",1800,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.67,7.83,7.33,7.67,7.5,7.67,10,10,10,7.5,0.11,"Green",1310.64,"good"
"Mexico","2013","Typica","Washed / Wet",7.75,7.58,7.58,7.58,7.5,7.42,10,10,10,7.75,0.11,"Green",1500,"good"
"Mexico","2012","Typica","Washed / Wet",7.75,7.67,7.58,7.5,7.42,7.58,10,10,10,7.67,0.12,"None",532,"good"
"Mexico","2012","Other","Washed / Wet",7.58,7.75,7.42,7.67,7.5,7.58,10,10,10,7.67,0.14,"None",1089,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.5,7.5,7.5,7.58,8.17,10,10,10,7.25,0.11,"Green",1775,"good"
"Mexico","2012","Typica","Washed / Wet",7.75,7.5,7.42,7.75,7.58,7.58,10,10,10,7.58,0.13,"Green",700,"good"
"Colombia","2012","Caturra","Washed / Wet",7.58,7.67,7.5,7.58,7.67,7.67,10,10,10,7.5,0.11,"Blue-Green",1750,"good"
"Brazil","2012","Other","Natural / Dry",7.75,7.67,7.58,7.5,7.58,7.58,10,10,10,7.5,0.12,"Green",1000,"good"
"Brazil","2012","Other","Natural / Dry",7.92,7.58,7.5,7.58,7.42,7.5,10,10,10,7.67,0.11,"Green",950,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.75,7.5,7.67,7.5,7.92,8,10,10,9.33,7.5,0,"Green",1402.08,"good"
"Brazil","2011","Other","Semi-washed / Semi-pulped",7.75,7.5,7.58,7.5,7.75,7.5,10,10,10,7.58,0.12,"Blue-Green",1000,"good"
"Colombia","2016","Caturra","Washed / Wet",7.58,7.67,7.33,7.67,7.75,7.58,10,10,10,7.5,0,"Green",1799,"good"
"Brazil","2015","Other","Pulped natural / honey",7.58,7.58,7.58,7.5,7.67,7.58,10,10,10,7.58,0.11,"Bluish-Green",905,"good"
"Brazil","2016","Other","Natural / Dry",7.33,7.67,7.67,7.33,7.75,7.42,10,10,10,7.92,0,"Green",1,"good"
"Taiwan","2015","Typica","Natural / Dry",7.83,7.92,7.5,7.83,7.67,7.25,9.33,10,10,7.75,0,"Green",750,"good"
"Brazil","2015","Bourbon","Washed / Wet",7.58,7.83,7.67,7.42,7.42,7.5,10,10,10,7.67,0,"Green",1200,"good"
"Costa Rica","2014","Catuai","Washed / Wet",7.83,7.33,7.5,7.67,7.58,7.67,10,10,10,7.5,0.1,"Green",1300,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.58,7.5,7.5,7.75,7.67,7.5,10,10,10,7.5,0,"Green",890,"good"
"Brazil","2016","Bourbon","Natural / Dry",7.5,7.58,7.58,7.67,7.58,7.5,10,10,10,7.58,0.11,"Green",894,"good"
"Brazil","2016","Bourbon","Natural / Dry",7.5,7.67,7.58,7.67,7.58,7.42,10,10,10,7.58,0.11,"Bluish-Green",872,"good"
"Uganda","2015","Bourbon","Washed / Wet",7.67,7.58,7.42,7.42,7.83,7.5,10,10,10,7.58,0.12,"Green",1473,"good"
"Uganda","2015","Bourbon","Natural / Dry",7.67,7.67,7.5,7.58,7.42,7.5,10,10,10,7.67,0.12,"Green",1645,"good"
"Vietnam","2014","Caturra","Other",7.75,7.67,7.58,7.58,7.42,7.67,9.33,10,10,8,0,"Green",1550,"good"
"Guatemala","2015","Catuai","Washed / Wet",7.67,7.75,7.33,7.92,7.42,7.5,10,10,10,7.42,0.11,"Green",1550,"good"
"Guatemala","2015","Catuai","Washed / Wet",7.75,7.67,7.33,7.75,7.5,7.42,10,10,10,7.58,0.11,"Green",1371.6,"good"
"Guatemala","2015","Bourbon","Washed / Wet",7.83,7.67,7.25,7.67,7.75,7.5,10,10,10,7.33,0.11,"Green",1500,"good"
"Brazil","2014","Catuai","Natural / Dry",7.67,7.67,7.67,7.5,7.42,7.5,10,10,10,7.58,0,"Green",1000,"good"
"Taiwan","2014","Typica","Washed / Wet",7.92,7.92,7.83,7.58,7.33,7.25,10,10,10,7.17,0.08,"Green",1200,"good"
"Uganda","2013","Other","Washed / Wet",7.83,7.58,7.5,7.5,7.58,7.5,10,10,10,7.5,0.12,"Green",1800,"good"
"United States (Puerto Rico)","2013","Other","Washed / Wet",7.67,7.5,7.67,7.83,7.75,7.83,10,10,9.33,7.42,0,"Bluish-Green",853.44,"good"
"Guatemala","2014","Bourbon","Washed / Wet",7.67,7.67,7.42,7.83,7.5,7.5,10,10,10,7.42,0.1,"Green",1500,"good"
"Costa Rica","2013","Catuai","Washed / Wet",7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7.67,0.11,"Green",1200,"good"
"Brazil","2014","Other","Semi-washed / Semi-pulped",7.75,7.58,7.42,7.67,7.42,7.67,10,10,10,7.5,0.12,"Bluish-Green",1250,"good"
"Colombia","2013","Caturra","Washed / Wet",7.75,7.42,7.33,7.5,7.58,7.17,10,10,10,8.25,0.11,"Green",1775,"good"
"Colombia","2013","Caturra","Washed / Wet",7.83,7.5,7.58,7.33,7.5,7.67,10,10,10,7.58,0,"Green",1750,"good"
"Colombia","2013","Caturra","Natural / Dry",7.33,7.67,7.75,7.42,7.75,7.58,10,10,10,7.5,0.11,"Green",1000,"good"
"Colombia","2013","Caturra","Natural / Dry",7.58,7.75,7.42,7.67,7.58,7.42,10,10,10,7.58,0,"Green",1000,"good"
"Colombia","2012","Caturra","Washed / Wet",7.5,7.5,7.42,7.58,7.75,7.58,10,10,10,7.67,0.11,"Green",1775,"good"
"Mexico","2012","Typica","Washed / Wet",7.67,7.58,7.42,7.5,7.67,7.58,10,10,10,7.58,0.11,"Green",750,"good"
"Mexico","2012","Typica","Semi-washed / Semi-pulped",7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,10,7.83,0.11,"Green",1200,"good"
"Mexico","2012","Bourbon","Washed / Wet",7.5,7.67,7.5,7.5,7.58,7.58,10,10,10,7.67,0.11,"Green",1200,"good"
"Colombia","2012","Caturra","Washed / Wet",7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,10,7.58,0,"Green",1625,"good"
"Colombia","2012","Caturra","Washed / Wet",7.67,7.58,7.58,7.58,7.67,7.42,10,10,10,7.5,0.11,"Green",1750,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.5,7.67,7.5,7.67,7.5,7.83,10,10,10,7.33,0.1,"Green",1371.6,"good"
"Colombia","2011","Caturra","Washed / Wet",7.67,7.67,7.58,7.5,7.67,7.42,10,10,10,7.5,0.12,"Bluish-Green",1775,"good"
"Brazil","2018","Bourbon","Natural / Dry",7.67,7.58,7.5,7.58,7.58,7.5,10,10,10,7.5,0,"Green",890,"good"
"El Salvador","2017","Bourbon","Washed / Wet",7.5,7.5,7.75,7.58,7.92,7.83,10,10,9.33,7.5,0,"Green",1350,"good"
"Colombia","2017","Caturra","Washed / Wet",7.58,7.67,7.5,7.33,7.67,7.58,10,10,10,7.58,0.11,"Green",1500,"good"
"Taiwan","2016","Caturra","Natural / Dry",7.17,7.83,7.25,7.67,7.67,7.58,10,10,10,7.75,0.09,"Green",350,"good"
"Ethiopia","2016","Other","Washed / Wet",7.58,7.58,7.5,7.5,7.58,7.58,10,10,10,7.58,0,"Bluish-Green",2000,"good"
"Taiwan","2014","Typica","Natural / Dry",7.5,7.58,7.67,7.33,7.5,7.75,10,10,10,7.58,0,"Green",775,"good"
"Philippines","2015","Other","Washed / Wet",7.58,7.58,7.67,7.58,7.5,7.5,10,10,10,7.5,0.11,"Blue-Green",1200,"good"
"Philippines","2014","Other","Washed / Wet",8.08,7.5,7.67,7.42,7.33,7.5,10,10,10,7.42,0,"Bluish-Green",1600,"good"
"Mexico","2015","Typica","Natural / Dry",7.83,7.67,7.25,7.58,7.5,7.5,10,10,10,7.58,0.13,"Blue-Green",1059,"good"
"Mexico","2015","Bourbon","Washed / Wet",7.75,7.67,7.42,7.42,7.75,7.5,10,10,10,7.42,0.12,"Bluish-Green",1300,"good"
"Uganda","2013","Other","Washed / Wet",8,7.5,7.5,7.58,7.33,7.42,10,10,10,7.58,0.12,"Green",1650,"good"
"Uganda","2013","Other","Washed / Wet",7.75,7.58,7.58,7.5,7.5,7.5,10,10,10,7.5,0.12,"Green",1400,"good"
"Guatemala","2014","Bourbon","Washed / Wet",7.75,7.5,7.42,7.58,7.67,7.5,10,10,10,7.5,0.1,"Green",1500,"good"
"Guatemala","2014","Caturra","Natural / Dry",7.67,7.83,7.42,7.5,7.33,7.5,10,10,10,7.67,0.1,"Green",1500,"good"
"Colombia","2013","Caturra","Washed / Wet",7.58,7.5,7.75,7.33,7.58,7.58,10,10,10,7.58,0.11,"Green",1900,"good"
"Colombia","2013","Caturra","Natural / Dry",7.75,7.5,7.25,7.5,7.75,7.5,10,10,10,7.67,0,"Bluish-Green",1750,"good"
"Guatemala","2013","Bourbon","Washed / Wet",7.83,7.75,7.25,7.92,7.5,7.17,10,10,10,7.5,0.11,"Green",1706.88,"good"
"Colombia","2013","Other","Washed / Wet",7.83,7.67,7.42,7.42,7.5,7.58,10,10,10,7.5,0.11,"Green",1450,"good"
"Mexico","2012","Typica","Natural / Dry",7.58,7.58,7.33,7.25,7.58,7.75,10,10,10,7.83,0.1,"Green",1248,"good"
"Vietnam","2012","Other","Natural / Dry",7.67,7.33,7.17,7.58,8.08,7.42,10,10,10,7.67,0,"None",1040,"good"
"Mexico","2012","Typica","Washed / Wet",8,7.92,7.67,7.17,7.67,7.42,9.33,10,10,7.75,0.14,"Green",1400,"good"
"Kenya","2017","Other","Washed / Wet",7.75,7.58,7.42,7.58,7.5,7.5,10,10,10,7.5,0.1,"Green",1754,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.58,7.33,7.67,7.58,7.58,10,10,10,7.58,0.11,"Green",1700,"good"
"Brazil","2015","Other","Pulped natural / honey",7.67,7.58,7.58,7.5,7.5,7.42,10,10,10,7.58,0.11,"Bluish-Green",905,"good"
"El Salvador","2016","Other","Washed / Wet",7.33,7.67,7.67,7.83,7.33,7.67,10,10,10,7.33,0,"Green",1250,"good"
"Rwanda","2015","Bourbon","Washed / Wet",7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,0.11,"Bluish-Green",1900,"good"
"Vietnam","2014","Other","Other",7.25,7.58,7.5,7.42,7.75,7.42,10,10,10,7.92,0.11,"Green",1040,"good"
"Guatemala","2015","Bourbon","Washed / Wet",7.58,7.58,7.33,7.67,7.67,7.5,10,10,10,7.5,0.11,"Green",1219.2,"good"
"Brazil","2015","Catuai","Natural / Dry",7.58,7.83,7.33,7.67,7.42,7.33,10,10,10,7.67,0.12,"Green",900,"good"
"Guatemala","2014","Bourbon","Washed / Wet",7.67,7.67,7.75,7.67,7.42,7.17,10,10,10,7.5,0.1,"Green",1500,"good"
"Colombia","2013","Typica","Natural / Dry",7.5,7.42,7.58,7.5,7.58,7.58,10,10,10,7.67,0,"Green",1800,"good"
"Colombia","2013","Caturra","Washed / Wet",7.83,7.5,7.5,7.42,7.5,7.5,10,10,10,7.58,0.11,"Green",1775,"good"
"Tanzania, United Republic Of","2012","Other","Washed / Wet",7.67,7.5,7.33,7.25,7.58,7.75,10,10,10,7.75,0.11,"Green",1400,"good"
"Mexico","2012","Caturra","Washed / Wet",7.58,7.67,7.5,7.58,7.5,7.5,10,10,10,7.5,0.12,"Green",1550,"good"
"Mexico","2012","Bourbon","Washed / Wet",7.67,7.58,7.42,7.75,7.42,7.42,10,10,10,7.58,0.12,"Blue-Green",1250,"good"
"Guatemala","2012","Bourbon","Washed / Wet",7.67,7.67,7.33,7.5,7.33,7.92,10,10,10,7.42,0.11,"Green",1310.64,"good"
"Guatemala","2017","Caturra","Washed / Wet",7.58,7.67,7.5,7.58,7.5,7.42,10,10,10,7.5,0.11,"Green",1800,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.67,7.17,7.67,7.67,7.58,10,10,10,7.5,0.11,"Green",1700,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.5,7.5,7.42,7.58,7.67,7.5,10,10,10,7.58,0.1,"Green",1219.2,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.42,7.58,7.42,7.67,7.5,7.5,10,10,10,7.67,0.1,"Green",1219.2,"good"
"Indonesia","2017","Other","Other",7.5,7.58,7.42,7.58,7.58,7.5,10,10,10,7.58,0.12,"Blue-Green",1500,"good"
"Guatemala","2017","Bourbon","Washed / Wet",7.58,7.58,7.33,7.58,7.33,7.67,10,10,10,7.67,0.12,"Green",157.8864,"good"
"Taiwan","2016","Other","Natural / Dry",7.83,7.67,7.33,7.67,7.58,7.67,9.33,10,10,7.67,0,"Green",650,"good"
"Costa Rica","2016","Caturra","Washed / Wet",7.58,7.5,7.42,7.67,7.42,7.5,10,10,10,7.67,0.09,"Bluish-Green",1850,"good"
"Honduras","2017","Caturra","Natural / Dry",7.58,7.5,7.42,7.58,7.5,7.5,10,10,10,7.67,0.09,"Green",1400,"good"
"Brazil","2015","Other","Pulped natural / honey",7.5,7.5,7.58,7.5,7.58,7.58,10,10,10,7.5,0.11,"Bluish-Green",905,"good"
"China","2015","Other","Natural / Dry",7.67,7.5,7.33,7.33,7.67,7.67,10,10,10,7.58,0.1,"Green",1100,"good"
"China","2015","Other","Washed / Wet",7.5,7.67,7.42,7.67,7.5,7.5,10,10,10,7.5,0.11,"Green",1500,"good"
"Colombia","2014","Caturra","Washed / Wet",7.5,7.58,7.58,7.75,7.33,7.5,10,10,10,7.5,0,"Blue-Green",1775,"good"
"Malawi","2014","Other","Washed / Wet",7.75,7.58,7.42,7.5,7.33,7.5,10,10,10,7.67,0.12,"Bluish-Green",1442,"good"
